muaman_store|x=45 y=15 w=96 h=12
مؤمن|x=646 y=339 w=73 h=31
محل|x=729 y=340 w=60 h=29
إدارة|x=799 y=340 w=55 h=31
الدخول|x=696 y=387 w=50 h=18
تسجيل|x=752 y=387 w=51 h=18
الدخول|x=690 y=630 w=55 h=19
تسجيل|x=752 y=630 w=58 h=19
المستخدم|x=1243 y=459 w=83 h=22
اسم|x=1333 y=459 w=32 h=22
ك|x=1381 y=457 w=21 h=20
المرور|x=1272 y=540 w=50 h=18
كلمة|x=1328 y=540 w=36 h=13
ق|x=1381 y=533 w=20 h=26
