muaman_store|x=45 y=15 w=96 h=12
المستخدمين|x=643 y=61 w=154 h=28
إدارة|x=805 y=61 w=53 h=31
جديد|x=54 y=782 w=34 h=13
مستخدم|x=93 y=780 w=60 h=19
17W|x=1225 y=145 w=43 h=15
17مالك|x=1275 y=145 w=68 h=15
مالك|x=1351 y=145 w=44 h=15
أنت|x=1229 y=173 w=24 h=14
مالك|x=1259 y=176 w=38 h=14
lowner17w@|x=1303 y=176 w=92 h=14
17W|x=1292 y=235 w=43 h=15
كاشير|x=1341 y=235 w=54 h=20
فقط|x=1166 y=266 w=26 h=11
ميعات|x=1197 y=266 w=47 h=13
موظف|x=1249 y=266 w=42 h=15
lcashier17w@|x=1297 y=266 w=98 h=14
